Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,53
2007-05,40
2007-06,19
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,13
2007-12,21
2008-01,0
2008-02,0
2008-03,59
2008-04,100
2008-05,16
2008-06,11
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,16
2009-03,0
2009-04,14
2009-05,13
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,24
2010-03,48
2010-04,30
2010-05,11
2010-06,9
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,11
2011-02,18
2011-03,27
2011-04,26
2011-05,15
2011-06,13
2011-07,13
2011-08,4
2011-09,4
2011-10,4
2011-11,13
2011-12,10
2012-01,13
2012-02,9
2012-03,14
2012-04,12
2012-05,16
2012-06,11
2012-07,11
2012-08,4
2012-09,2
2012-10,4
2012-11,5
2012-12,4
2013-01,9
2013-02,23
2013-03,43
2013-04,43
2013-05,20
2013-06,14
2013-07,8
2013-08,6
2013-09,4
2013-10,3
2013-11,4
2013-12,6
2014-01,8
2014-02,6
2014-03,12
2014-04,13
2014-05,13
2014-06,7
2014-07,6
2014-08,6
2014-09,4
2014-10,7
2014-11,7
2014-12,7
2015-01,10
2015-02,19
2015-03,54
2015-04,81
2015-05,56
2015-06,24
2015-07,14
2015-08,9
2015-09,7
2015-10,7
2015-11,10
2015-12,26
2016-01,40
2016-02,76
2016-03,75
2016-04,68
2016-05,21
2016-06,9
2016-07,5
2016-08,6
2016-09,4
2016-10,5
2016-11,7
2016-12,11
2017-01,18
2017-02,15
2017-03,12
2017-04,12
2017-05,9
2017-06,7
2017-07,4
2017-08,4
2017-09,5
2017-10,5
2017-11,6
2017-12,6
2018-01,10
2018-02,9
2018-03,9
2018-04,12
2018-05,8
2018-06,5
2018-07,3
2018-08,2
2018-09,2
2018-10,3
2018-11,5
2018-12,6
2019-01,9
2019-02,12
2019-03,20
2019-04,35
2019-05,37
2019-06,28
2019-07,13
2019-08,8
2019-09,6
2019-10,6
2019-11,8
2019-12,9
