Date,Interest
2004-01,51
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,8
2007-04,17
2007-05,5
2007-06,0
2007-07,0
2007-08,0
2007-09,6
2007-10,6
2007-11,6
2007-12,9
2008-01,11
2008-02,8
2008-03,13
2008-04,33
2008-05,13
2008-06,7
2008-07,0
2008-08,5
2008-09,7
2008-10,7
2008-11,8
2008-12,5
2009-01,8
2009-02,8
2009-03,9
2009-04,9
2009-05,9
2009-06,5
2009-07,0
2009-08,0
2009-09,6
2009-10,9
2009-11,15
2009-12,22
2010-01,14
2010-02,13
2010-03,24
2010-04,20
2010-05,24
2010-06,33
2010-07,100
2010-08,38
2010-09,36
2010-10,32
2010-11,21
2010-12,24
2011-01,19
2011-02,17
2011-03,17
2011-04,14
2011-05,11
2011-06,9
2011-07,7
2011-08,9
2011-09,11
2011-10,12
2011-11,14
2011-12,36
2012-01,8
2012-02,6
2012-03,7
2012-04,6
2012-05,5
2012-06,3
2012-07,4
2012-08,4
2012-09,4
2012-10,4
2012-11,6
2012-12,6
2013-01,7
2013-02,8
2013-03,7
2013-04,10
2013-05,5
2013-06,4
2013-07,3
2013-08,3
2013-09,4
2013-10,4
2013-11,6
2013-12,6
2014-01,7
2014-02,5
2014-03,8
2014-04,8
2014-05,6
2014-06,4
2014-07,3
2014-08,4
2014-09,4
2014-10,5
2014-11,7
2014-12,8
2015-01,8
2015-02,16
2015-03,18
2015-04,14
2015-05,12
2015-06,8
2015-07,5
2015-08,6
2015-09,6
2015-10,6
2015-11,11
2015-12,25
2016-01,24
2016-02,55
2016-03,51
2016-04,30
2016-05,10
2016-06,6
2016-07,4
2016-08,5
2016-09,6
2016-10,6
2016-11,10
2016-12,12
2017-01,13
2017-02,10
2017-03,10
2017-04,11
2017-05,8
2017-06,7
2017-07,5
2017-08,8
2017-09,10
2017-10,10
2017-11,12
2017-12,10
2018-01,15
2018-02,15
2018-03,10
2018-04,11
2018-05,7
2018-06,5
2018-07,4
2018-08,6
2018-09,8
2018-10,8
2018-11,11
2018-12,12
2019-01,14
2019-02,13
2019-03,15
2019-04,16
2019-05,14
2019-06,10
2019-07,4
2019-08,7
2019-09,9
2019-10,10
2019-11,12
2019-12,13
