Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,30
2011-04,0
2011-05,0
2011-06,37
2011-07,52
2011-08,0
2011-09,0
2011-10,26
2011-11,33
2011-12,23
2012-01,21
2012-02,27
2012-03,19
2012-04,0
2012-05,28
2012-06,19
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,17
2013-02,20
2013-03,26
2013-04,58
2013-05,42
2013-06,39
2013-07,24
2013-08,16
2013-09,0
2013-10,0
2013-11,0
2013-12,14
2014-01,0
2014-02,0
2014-03,13
2014-04,24
2014-05,19
2014-06,12
2014-07,0
2014-08,16
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,18
2015-02,53
2015-03,98
2015-04,75
2015-05,52
2015-06,36
2015-07,28
2015-08,13
2015-09,12
2015-10,0
2015-11,24
2015-12,54
2016-01,71
2016-02,96
2016-03,100
2016-04,76
2016-05,28
2016-06,16
2016-07,14
2016-08,11
2016-09,0
2016-10,0
2016-11,14
2016-12,20
2017-01,21
2017-02,19
2017-03,22
2017-04,27
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,17
2017-11,10
2017-12,18
2018-01,20
2018-02,12
2018-03,20
2018-04,26
2018-05,20
2018-06,11
2018-07,0
2018-08,0
2018-09,0
2018-10,9
2018-11,11
2018-12,10
2019-01,17
2019-02,25
2019-03,43
2019-04,56
2019-05,46
2019-06,33
2019-07,11
2019-08,13
2019-09,18
2019-10,20
2019-11,25
2019-12,16
