Date,Interest
2004-01,0.0
2004-02,44.0
2004-03,18.0
2004-04,20.0
2004-05,14.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,10.0
2004-11,18.0
2004-12,0.0
2005-01,10.0
2005-02,21.0
2005-03,25.0
2005-04,23.0
2005-05,16.0
2005-06,18.0
2005-07,6.0
2005-08,10.0
2005-09,8.0
2005-10,13.0
2005-11,18.0
2005-12,6.0
2006-01,15.0
2006-02,34.0
2006-03,39.0
2006-04,25.0
2006-05,16.0
2006-06,8.0
2006-07,5.0
2006-08,8.0
2006-09,7.0
2006-10,10.0
2006-11,19.0
2006-12,11.0
2007-01,12.0
2007-02,23.0
2007-03,25.0
2007-04,22.0
2007-05,14.0
2007-06,11.0
2007-07,9.0
2007-08,8.0
2007-09,10.0
2007-10,16.0
2007-11,20.0
2007-12,10.0
2008-01,14.0
2008-02,21.0
2008-03,42.0
2008-04,98.0
2008-05,47.0
2008-06,23.0
2008-07,5.0
2008-08,6.0
2008-09,8.0
2008-10,10.0
2008-11,18.0
2008-12,11.0
2009-01,12.0
2009-02,20.0
2009-03,24.0
2009-04,19.0
2009-05,12.0
2009-06,9.0
2009-07,4.0
2009-08,8.0
2009-09,7.0
2009-10,8.0
2009-11,14.0
2009-12,13.0
2010-01,22.0
2010-02,41.0
2010-03,58.0
2010-04,34.0
2010-05,29.0
2010-06,14.0
2010-07,6.0
2010-08,8.0
2010-09,9.0
2010-10,9.0
2010-11,15.0
2010-12,9.0
2011-01,12.0
2011-02,19.0
2011-03,24.0
2011-04,23.0
2011-05,15.0
2011-06,10.0
2011-07,7.0
2011-08,8.0
2011-09,10.0
2011-10,11.0
2011-11,16.0
2011-12,11.0
2012-01,10.0
2012-02,13.0
2012-03,14.0
2012-04,13.0
2012-05,12.0
2012-06,9.0
2012-07,5.0
2012-08,6.0
2012-09,7.0
2012-10,7.0
2012-11,9.0
2012-12,8.0
2013-01,19.0
2013-02,32.0
2013-03,32.0
2013-04,39.0
2013-05,26.0
2013-06,15.0
2013-07,7.0
2013-08,8.0
2013-09,7.0
2013-10,9.0
2013-11,11.0
2013-12,11.0
2014-01,13.0
2014-02,21.0
2014-03,24.0
2014-04,29.0
2014-05,28.0
2014-06,16.0
2014-07,9.0
2014-08,9.0
2014-09,9.0
2014-10,9.0
2014-11,13.0
2014-12,12.0
2015-01,15.0
2015-02,33.0
2015-03,54.0
2015-04,69.0
2015-05,87.0
2015-06,33.0
2015-07,12.0
2015-08,11.0
2015-09,9.0
2015-10,9.0
2015-11,17.0
2015-12,36.0
2016-01,48.0
2016-02,100.0
2016-03,98.0
2016-04,58.0
2016-05,37.0
2016-06,22.0
2016-07,8.0
2016-08,9.0
2016-09,9.0
2016-10,11.0
2016-11,13.0
2016-12,12.0
2017-01,15.0
2017-02,22.0
2017-03,26.0
2017-04,23.0
2017-05,23.0
2017-06,16.0
2017-07,6.0
2017-08,8.0
2017-09,9.0
2017-10,13.0
2017-11,13.0
2017-12,13.0
2018-01,18.0
2018-02,29.0
2018-03,39.0
2018-04,48.0
2018-05,35.0
2018-06,18.0
2018-07,9.0
2018-08,9.0
2018-09,9.0
2018-10,10.0
2018-11,18.0
2018-12,18.0
2019-01,22.0
2019-02,38.0
2019-03,54.0
2019-04,65.0
2019-05,72.0
2019-06,43.0
2019-07,17.0
2019-08,12.0
2019-09,12.0
2019-10,11.0
2019-11,12.0
2019-12,16.0
