Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,21.0
2006-04,37.0
2006-05,18.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,24.0
2006-12,0.0
2007-01,36.0
2007-02,100.0
2007-03,60.0
2007-04,35.0
2007-05,13.0
2007-06,10.0
2007-07,0.0
2007-08,7.0
2007-09,9.0
2007-10,17.0
2007-11,30.0
2007-12,13.0
2008-01,0.0
2008-02,11.0
2008-03,13.0
2008-04,31.0
2008-05,15.0
2008-06,0.0
2008-07,0.0
2008-08,0.0
2008-09,7.0
2008-10,6.0
2008-11,15.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,20.0
2009-04,16.0
2009-05,9.0
2009-06,9.0
2009-07,0.0
2009-08,7.0
2009-09,6.0
2009-10,0.0
2009-11,8.0
2009-12,15.0
2010-01,16.0
2010-02,37.0
2010-03,46.0
2010-04,30.0
2010-05,13.0
2010-06,7.0
2010-07,0.0
2010-08,0.0
2010-09,6.0
2010-10,14.0
2010-11,25.0
2010-12,0.0
2011-01,7.0
2011-02,19.0
2011-03,26.0
2011-04,22.0
2011-05,13.0
2011-06,9.0
2011-07,4.0
2011-08,6.0
2011-09,6.0
2011-10,7.0
2011-11,7.0
2011-12,5.0
2012-01,5.0
2012-02,6.0
2012-03,12.0
2012-04,11.0
2012-05,10.0
2012-06,7.0
2012-07,5.0
2012-08,5.0
2012-09,6.0
2012-10,4.0
2012-11,7.0
2012-12,7.0
2013-01,32.0
2013-02,52.0
2013-03,34.0
2013-04,25.0
2013-05,15.0
2013-06,7.0
2013-07,4.0
2013-08,4.0
2013-09,3.0
2013-10,5.0
2013-11,5.0
2013-12,3.0
2014-01,5.0
2014-02,8.0
2014-03,11.0
2014-04,8.0
2014-05,7.0
2014-06,4.0
2014-07,3.0
2014-08,4.0
2014-09,4.0
2014-10,5.0
2014-11,6.0
2014-12,4.0
2015-01,5.0
2015-02,10.0
2015-03,21.0
2015-04,24.0
2015-05,20.0
2015-06,13.0
2015-07,5.0
2015-08,5.0
2015-09,5.0
2015-10,5.0
2015-11,11.0
2015-12,26.0
2016-01,43.0
2016-02,59.0
2016-03,54.0
2016-04,31.0
2016-05,12.0
2016-06,8.0
2016-07,3.0
2016-08,4.0
2016-09,4.0
2016-10,4.0
2016-11,5.0
2016-12,5.0
2017-01,6.0
2017-02,7.0
2017-03,10.0
2017-04,8.0
2017-05,8.0
2017-06,4.0
2017-07,2.0
2017-08,4.0
2017-09,5.0
2017-10,5.0
2017-11,7.0
2017-12,5.0
2018-01,5.0
2018-02,6.0
2018-03,8.0
2018-04,8.0
2018-05,5.0
2018-06,3.0
2018-07,2.0
2018-08,3.0
2018-09,3.0
2018-10,4.0
2018-11,7.0
2018-12,9.0
2019-01,8.0
2019-02,21.0
2019-03,55.0
2019-04,58.0
2019-05,37.0
2019-06,19.0
2019-07,8.0
2019-08,6.0
2019-09,5.0
2019-10,5.0
2019-11,6.0
2019-12,10.0
