Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,0.0
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,0.0
2008-05,0.0
2008-06,0.0
2008-07,0.0
2008-08,0.0
2008-09,0.0
2008-10,0.0
2008-11,0.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,0.0
2009-04,100.0
2009-05,67.0
2009-06,0.0
2009-07,0.0
2009-08,0.0
2009-09,0.0
2009-10,0.0
2009-11,63.0
2009-12,99.0
2010-01,96.0
2010-02,86.0
2010-03,0.0
2010-04,48.0
2010-05,0.0
2010-06,0.0
2010-07,0.0
2010-08,0.0
2010-09,0.0
2010-10,0.0
2010-11,0.0
2010-12,0.0
2011-01,25.0
2011-02,18.0
2011-03,18.0
2011-04,22.0
2011-05,0.0
2011-06,12.0
2011-07,18.0
2011-08,10.0
2011-09,11.0
2011-10,10.0
2011-11,16.0
2011-12,17.0
2012-01,13.0
2012-02,42.0
2012-03,76.0
2012-04,57.0
2012-05,49.0
2012-06,26.0
2012-07,20.0
2012-08,12.0
2012-09,19.0
2012-10,12.0
2012-11,17.0
2012-12,22.0
2013-01,47.0
2013-02,47.0
2013-03,33.0
2013-04,39.0
2013-05,25.0
2013-06,20.0
2013-07,17.0
2013-08,0.0
2013-09,7.0
2013-10,7.0
2013-11,13.0
2013-12,14.0
2014-01,12.0
2014-02,14.0
2014-03,18.0
2014-04,18.0
2014-05,18.0
2014-06,18.0
2014-07,12.0
2014-08,0.0
2014-09,9.0
2014-10,8.0
2014-11,8.0
2014-12,0.0
2015-01,7.0
2015-02,17.0
2015-03,36.0
2015-04,48.0
2015-05,45.0
2015-06,36.0
2015-07,13.0
2015-08,16.0
2015-09,13.0
2015-10,0.0
2015-11,23.0
2015-12,58.0
2016-01,55.0
2016-02,63.0
2016-03,35.0
2016-04,23.0
2016-05,8.0
2016-06,8.0
2016-07,7.0
2016-08,7.0
2016-09,6.0
2016-10,7.0
2016-11,12.0
2016-12,13.0
2017-01,20.0
2017-02,21.0
2017-03,20.0
2017-04,14.0
2017-05,12.0
2017-06,6.0
2017-07,6.0
2017-08,0.0
2017-09,6.0
2017-10,5.0
2017-11,10.0
2017-12,10.0
2018-01,18.0
2018-02,20.0
2018-03,17.0
2018-04,16.0
2018-05,19.0
2018-06,8.0
2018-07,6.0
2018-08,4.0
2018-09,0.0
2018-10,5.0
2018-11,12.0
2018-12,12.0
2019-01,7.0
2019-02,14.0
2019-03,24.0
2019-04,26.0
2019-05,40.0
2019-06,29.0
2019-07,18.0
2019-08,8.0
2019-09,7.0
2019-10,9.0
2019-11,19.0
2019-12,25.0
