Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,0.0
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,0.0
2008-05,0.0
2008-06,0.0
2008-07,0.0
2008-08,0.0
2008-09,0.0
2008-10,0.0
2008-11,0.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,0.0
2009-04,0.0
2009-05,0.0
2009-06,0.0
2009-07,0.0
2009-08,0.0
2009-09,0.0
2009-10,0.0
2009-11,0.0
2009-12,0.0
2010-01,0.0
2010-02,0.0
2010-03,0.0
2010-04,0.0
2010-05,0.0
2010-06,0.0
2010-07,0.0
2010-08,100.0
2010-09,0.0
2010-10,0.0
2010-11,0.0
2010-12,0.0
2011-01,0.0
2011-02,0.0
2011-03,3.0
2011-04,2.0
2011-05,2.0
2011-06,0.0
2011-07,0.0
2011-08,0.0
2011-09,1.0
2011-10,0.0
2011-11,1.0
2011-12,0.0
2012-01,0.0
2012-02,0.0
2012-03,0.0
2012-04,1.0
2012-05,0.0
2012-06,2.0
2012-07,1.0
2012-08,0.0
2012-09,0.0
2012-10,1.0
2012-11,1.0
2012-12,0.0
2013-01,1.0
2013-02,0.0
2013-03,1.0
2013-04,2.0
2013-05,3.0
2013-06,1.0
2013-07,2.0
2013-08,1.0
2013-09,0.0
2013-10,0.0
2013-11,1.0
2013-12,0.0
2014-01,1.0
2014-02,0.0
2014-03,1.0
2014-04,1.0
2014-05,1.0
2014-06,1.0
2014-07,1.0
2014-08,0.0
2014-09,2.0
2014-10,1.0
2014-11,2.0
2014-12,1.0
2015-01,1.0
2015-02,2.0
2015-03,2.0
2015-04,3.0
2015-05,3.0
2015-06,2.0
2015-07,1.0
2015-08,2.0
2015-09,1.0
2015-10,2.0
2015-11,2.0
2015-12,6.0
2016-01,3.0
2016-02,10.0
2016-03,9.0
2016-04,7.0
2016-05,4.0
2016-06,2.0
2016-07,2.0
2016-08,2.0
2016-09,1.0
2016-10,2.0
2016-11,2.0
2016-12,2.0
2017-01,1.0
2017-02,2.0
2017-03,2.0
2017-04,3.0
2017-05,2.0
2017-06,2.0
2017-07,2.0
2017-08,2.0
2017-09,1.0
2017-10,2.0
2017-11,2.0
2017-12,1.0
2018-01,2.0
2018-02,2.0
2018-03,1.0
2018-04,2.0
2018-05,2.0
2018-06,2.0
2018-07,1.0
2018-08,3.0
2018-09,2.0
2018-10,1.0
2018-11,2.0
2018-12,2.0
2019-01,1.0
2019-02,2.0
2019-03,2.0
2019-04,3.0
2019-05,4.0
2019-06,4.0
2019-07,5.0
2019-08,3.0
2019-09,3.0
2019-10,2.0
2019-11,2.0
2019-12,1.0
